census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
12011030704,708.0,200.0,334.0,1040.0,613.0,2054.0
12011030705,10.0,17.0,18.0,133.0,458.0,2824.0
12011030801,1708.0,883.0,1091.0,1785.0,352.0,1455.0
12011030802,600.0,284.0,671.0,1743.0,919.0,2109.0
12011030902,684.0,194.0,268.0,1223.0,567.0,609.0
12011030903,754.0,304.0,458.0,1238.0,413.0,377.0
12011030904,721.0,196.0,353.0,1669.0,800.0,810.0
12011031001,477.0,184.0,306.0,924.0,345.0,309.0
12011031002,636.0,300.0,460.0,1478.0,653.0,731.0
12011031101,330.0,105.0,171.0,757.0,378.0,584.0
12011031102,537.0,201.0,305.0,1218.0,590.0,715.0
12011031202,327.0,149.0,294.0,1421.0,1266.0,2723.0
12011031203,35.0,24.0,69.0,219.0,254.0,693.0
12011031204,92.0,70.0,198.0,694.0,521.0,1321.0
12011031205,145.0,66.0,121.0,474.0,350.0,598.0
12011040101,105.0,42.0,97.0,375.0,230.0,457.0
12011040102,302.0,79.0,137.0,763.0,502.0,1055.0
12011040203,169.0,91.0,170.0,582.0,361.0,418.0
12011040204,219.0,229.0,438.0,834.0,474.0,731.0
12011040205,811.0,313.0,523.0,1704.0,683.0,771.0
12011040206,456.0,128.0,308.0,902.0,401.0,647.0
12011040300,666.0,275.0,466.0,1325.0,577.0,677.0
12011040401,221.0,67.0,152.0,641.0,455.0,668.0
12011040402,451.0,161.0,197.0,940.0,490.0,657.0
12011040502,295.0,108.0,331.0,1098.0,697.0,897.0
12011040503,128.0,35.0,86.0,401.0,392.0,1201.0
12011040504,131.0,65.0,130.0,684.0,761.0,2101.0
12011040601,504.0,179.0,332.0,1251.0,660.0,843.0
12011040602,541.0,160.0,245.0,1125.0,539.0,408.0
12011040701,349.0,168.0,357.0,1218.0,376.0,297.0
12011040702,353.0,312.0,657.0,1392.0,496.0,405.0
12011040801,1308.0,497.0,641.0,1572.0,612.0,421.0
12011040802,784.0,464.0,648.0,1699.0,477.0,249.0
12011040901,1349.0,486.0,462.0,1154.0,563.0,656.0
12011040902,955.0,352.0,364.0,949.0,448.0,378.0
12011041000,894.0,273.0,269.0,712.0,230.0,390.0
12011041100,1470.0,520.0,468.0,1343.0,450.0,382.0
12011041200,1516.0,485.0,528.0,1141.0,309.0,562.0
12011041300,1900.0,651.0,650.0,1799.0,828.0,1156.0
12011041400,837.0,301.0,297.0,762.0,247.0,259.0
12011041500,1189.0,396.0,412.0,729.0,278.0,271.0
12011041600,1824.0,645.0,706.0,1610.0,519.0,332.0
12011041700,989.0,469.0,506.0,1212.0,460.0,209.0
12011041801,213.0,147.0,345.0,707.0,253.0,163.0
12011041802,270.0,237.0,539.0,1144.0,429.0,565.0
12011041900,272.0,280.0,718.0,1293.0,555.0,409.0
12011042000,444.0,140.0,252.0,1026.0,742.0,809.0
12011042100,108.0,172.0,319.0,790.0,499.0,831.0
12011042200,217.0,73.0,80.0,629.0,530.0,1180.0
12011042301,485.0,271.0,501.0,1335.0,687.0,695.0
12011042302,117.0,144.0,168.0,433.0,153.0,219.0
12011042400,322.0,36.0,110.0,471.0,220.0,155.0
12011042500,455.0,1243.0,2090.0,2133.0,687.0,436.0
12011042600,656.0,471.0,952.0,1818.0,766.0,708.0
12011042700,1015.0,452.0,724.0,1695.0,668.0,501.0
12011042800,2134.0,759.0,908.0,2117.0,850.0,696.0
12011042900,2004.0,836.0,799.0,1996.0,846.0,692.0
12011043001,212.0,57.0,113.0,497.0,292.0,250.0
12011043002,1685.0,678.0,895.0,2209.0,728.0,546.0
12011043100,1012.0,367.0,558.0,1540.0,646.0,599.0
12011043301,758.0,291.0,624.0,1677.0,662.0,547.0
12011043302,369.0,241.0,326.0,702.0,216.0,143.0
12011050100,1199.0,425.0,582.0,1451.0,449.0,371.0
12011050204,1169.0,415.0,815.0,1852.0,658.0,605.0
12011050205,226.0,70.0,142.0,544.0,443.0,1145.0
12011050206,459.0,271.0,469.0,692.0,356.0,988.0
12011050207,1193.0,396.0,815.0,1893.0,605.0,563.0
12011050208,635.0,251.0,517.0,851.0,269.0,421.0
12011050301,2380.0,877.0,807.0,2428.0,834.0,693.0
12011050306,1203.0,516.0,477.0,1003.0,387.0,399.0
12011050307,1839.0,740.0,870.0,1821.0,698.0,1114.0
12011050308,1035.0,372.0,364.0,769.0,354.0,283.0
12011050309,662.0,259.0,425.0,661.0,127.0,58.0
12011050310,711.0,305.0,359.0,1102.0,1047.0,1858.0
12011050311,651.0,197.0,419.0,899.0,585.0,901.0
12011050312,334.0,174.0,228.0,516.0,442.0,835.0
12011050401,663.0,308.0,679.0,1385.0,337.0,220.0
12011050402,854.0,265.0,496.0,1600.0,627.0,582.0
12011050501,756.0,269.0,445.0,1432.0,449.0,313.0
12011050502,958.0,443.0,604.0,1660.0,519.0,377.0
12011050601,525.0,181.0,387.0,1294.0,553.0,496.0
12011050602,587.0,290.0,480.0,1318.0,490.0,440.0
12011050701,868.0,353.0,449.0,1330.0,485.0,333.0
12011050702,1504.0,758.0,1028.0,1890.0,529.0,383.0
12011050800,1325.0,503.0,521.0,1382.0,482.0,700.0
12011050900,810.0,412.0,719.0,2292.0,820.0,666.0
12011051001,147.0,147.0,384.0,1648.0,634.0,467.0
12011051002,265.0,95.0,225.0,1001.0,442.0,631.0
12011060105,1640.0,491.0,968.0,2050.0,782.0,972.0
12011060107,597.0,245.0,416.0,783.0,372.0,828.0
12011060109,316.0,115.0,180.0,641.0,498.0,960.0
12011060111,1188.0,277.0,854.0,1769.0,789.0,1253.0
12011060112,868.0,363.0,759.0,1594.0,898.0,1583.0
12011060113,1791.0,512.0,785.0,2163.0,688.0,799.0
12011060114,1840.0,609.0,728.0,2279.0,825.0,575.0
12011060115,1695.0,621.0,1142.0,2084.0,517.0,373.0
12011060116,1799.0,601.0,853.0,2121.0,631.0,733.0
12011060117,1471.0,608.0,1018.0,1880.0,472.0,543.0
12011060118,1196.0,411.0,531.0,1730.0,633.0,346.0
12011060119,1087.0,419.0,589.0,1617.0,605.0,383.0
12011060120,1768.0,635.0,960.0,2477.0,655.0,453.0
12011060121,1481.0,363.0,377.0,1985.0,815.0,521.0
12011060122,1169.0,450.0,684.0,1451.0,396.0,399.0
12011060123,560.0,181.0,366.0,833.0,402.0,957.0
12011060124,1139.0,429.0,920.0,1528.0,522.0,1093.0
12011060125,578.0,169.0,246.0,708.0,273.0,172.0
12011060126,1164.0,434.0,478.0,1464.0,678.0,767.0
12011060127,567.0,190.0,493.0,816.0,306.0,359.0
12011060128,1222.0,483.0,757.0,1535.0,690.0,960.0
12011060203,1592.0,584.0,581.0,1565.0,545.0,448.0
12011060206,886.0,316.0,446.0,1323.0,713.0,1028.0
12011060207,462.0,187.0,278.0,849.0,686.0,1285.0
12011060208,1662.0,639.0,659.0,1604.0,453.0,374.0
12011060209,780.0,300.0,274.0,868.0,297.0,257.0
12011060210,836.0,222.0,342.0,1040.0,369.0,269.0
12011060211,247.0,159.0,182.0,528.0,576.0,2416.0
12011060212,775.0,266.0,401.0,1069.0,350.0,286.0
12011060213,377.0,145.0,319.0,705.0,726.0,2382.0
12011060302,2347.0,741.0,868.0,1983.0,586.0,365.0
12011060303,2090.0,793.0,962.0,1569.0,350.0,368.0
12011060304,994.0,351.0,332.0,771.0,269.0,144.0
12011060305,567.0,216.0,379.0,760.0,179.0,152.0
12011060306,185.0,76.0,231.0,471.0,292.0,644.0
12011060401,1180.0,458.0,437.0,1263.0,689.0,772.0
12011060402,1766.0,740.0,835.0,1822.0,598.0,378.0
12011060403,1150.0,638.0,612.0,1311.0,628.0,812.0
12011060501,1413.0,530.0,824.0,1843.0,721.0,750.0
12011060503,1133.0,323.0,614.0,1634.0,663.0,445.0
12011060504,1066.0,253.0,367.0,1491.0,861.0,528.0
12011060505,391.0,328.0,642.0,768.0,554.0,1571.0
12011060603,1173.0,370.0,607.0,1523.0,501.0,306.0
12011060605,709.0,413.0,763.0,1055.0,321.0,210.0
12011060606,1029.0,504.0,827.0,1604.0,614.0,863.0
12011060607,628.0,160.0,213.0,911.0,397.0,466.0
12011060608,1170.0,568.0,1158.0,1921.0,795.0,1037.0
12011060609,712.0,312.0,643.0,986.0,364.0,309.0
12011060700,734.0,221.0,244.0,1065.0,434.0,488.0
