tract,0-18,19-25,26-34,35-54,55-64,65+
04019004429,2227.0,420.0,1049.0,2351.0,824.0,673.0
04019004430,603.0,290.0,461.0,717.0,210.0,221.0
04019004431,1360.0,263.0,671.0,1083.0,315.0,283.0
04019004504,1954.0,778.0,1009.0,1961.0,732.0,792.0
04019004505,863.0,310.0,391.0,879.0,502.0,813.0
04019004506,1589.0,456.0,667.0,1542.0,542.0,573.0
04019004508,1005.0,463.0,420.0,1052.0,561.0,1105.0
04019004510,600.0,1377.0,491.0,583.0,246.0,219.0
04019004511,1147.0,696.0,707.0,1061.0,477.0,391.0
04019004512,1012.0,406.0,501.0,1225.0,518.0,737.0
04019004513,810.0,282.0,307.0,874.0,372.0,565.0
04019004610,1489.0,733.0,823.0,1805.0,709.0,515.0
04019004613,889.0,386.0,472.0,1004.0,424.0,430.0
04019004614,537.0,182.0,200.0,778.0,604.0,1038.0
04019004615,497.0,208.0,173.0,837.0,549.0,801.0
04019004616,584.0,324.0,465.0,740.0,356.0,1028.0
04019004617,381.0,256.0,332.0,583.0,361.0,581.0
04019004618,685.0,281.0,403.0,890.0,496.0,637.0
04019004619,495.0,218.0,253.0,750.0,636.0,897.0
04019004620,394.0,241.0,223.0,457.0,239.0,217.0
04019004621,262.0,126.0,122.0,388.0,281.0,831.0
04019004622,662.0,331.0,318.0,846.0,504.0,478.0
04019004623,1180.0,314.0,605.0,1455.0,773.0,839.0
04019004624,1667.0,478.0,765.0,1869.0,779.0,651.0
04019004625,331.0,212.0,298.0,446.0,173.0,312.0
04019004626,763.0,678.0,591.0,783.0,286.0,436.0
04019004627,744.0,361.0,322.0,860.0,317.0,253.0
04019004628,252.0,60.0,68.0,350.0,309.0,251.0
04019004630,528.0,218.0,220.0,563.0,272.0,210.0
04019004631,901.0,226.0,368.0,1052.0,517.0,512.0
04019004632,703.0,172.0,248.0,848.0,379.0,272.0
04019004633,719.0,200.0,225.0,940.0,478.0,398.0
04019004634,271.0,80.0,49.0,362.0,278.0,150.0
04019004635,1037.0,217.0,190.0,1367.0,839.0,1162.0
04019004636,1972.0,394.0,333.0,2455.0,1071.0,943.0
04019004638,1293.0,284.0,599.0,1762.0,1611.0,1924.0
04019004639,1060.0,246.0,406.0,1126.0,351.0,263.0
04019004640,1208.0,178.0,403.0,1341.0,719.0,949.0
04019004641,975.0,218.0,188.0,1242.0,659.0,665.0
04019004642,492.0,123.0,98.0,678.0,492.0,1388.0
04019004643,295.0,34.0,89.0,445.0,519.0,2737.0
04019004644,743.0,181.0,317.0,757.0,332.0,208.0
04019004645,1445.0,497.0,635.0,1583.0,617.0,371.0
04019004646,1020.0,384.0,514.0,1322.0,481.0,373.0
04019004647,1030.0,322.0,434.0,1255.0,553.0,377.0
04019004710,411.0,821.0,747.0,739.0,423.0,1001.0
04019004711,871.0,235.0,314.0,1187.0,873.0,1112.0
04019004712,497.0,274.0,240.0,762.0,638.0,663.0
04019004713,513.0,144.0,145.0,877.0,801.0,1321.0
04019004714,1088.0,416.0,394.0,1468.0,1161.0,1128.0
04019004715,1048.0,349.0,446.0,1354.0,743.0,832.0
04019004716,1034.0,295.0,453.0,1340.0,946.0,1457.0
04019004717,263.0,129.0,96.0,453.0,387.0,699.0
04019004718,409.0,176.0,239.0,593.0,355.0,411.0
04019004719,1171.0,253.0,225.0,1601.0,1094.0,1386.0
04019004720,182.0,31.0,40.0,336.0,298.0,476.0
04019004721,431.0,386.0,371.0,808.0,576.0,874.0
04019004722,258.0,48.0,58.0,445.0,466.0,1099.0
04019004723,1144.0,323.0,497.0,1650.0,775.0,633.0
04019004724,446.0,107.0,109.0,643.0,586.0,664.0
04019004725,379.0,473.0,469.0,735.0,421.0,455.0
04019004726,751.0,181.0,199.0,1097.0,869.0,1025.0
04019410501,1538.0,406.0,844.0,1201.0,376.0,402.0
04019410502,1678.0,714.0,1322.0,1933.0,431.0,281.0
04019410503,1064.0,323.0,939.0,1142.0,561.0,1553.0
04019470400,667.0,238.0,314.0,726.0,534.0,1082.0
04019470500,755.0,183.0,181.0,1003.0,510.0,544.0
04019940600,430.0,130.0,130.0,344.0,144.0,143.0
04019940700,494.0,141.0,184.0,362.0,141.0,115.0
04019940800,1598.0,533.0,520.0,1147.0,387.0,320.0
04019940900,614.0,183.0,214.0,477.0,221.0,193.0
04019941000,1391.0,458.0,398.0,847.0,249.0,180.0
04021000201,900.0,212.0,342.0,1548.0,1193.0,1319.0
04021000204,2297.0,475.0,1020.0,1718.0,576.0,647.0
04021000205,6256.0,1360.0,3172.0,3915.0,878.0,579.0
