census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
29077004302,893.0,283.0,455.0,963.0,428.0,488.0
29077004400,1322.0,803.0,701.0,1750.0,873.0,1431.0
29077004500,544.0,513.0,377.0,619.0,424.0,344.0
29077004600,1941.0,458.0,726.0,2188.0,915.0,969.0
29077004700,1168.0,282.0,384.0,1555.0,875.0,868.0
29077004801,1948.0,505.0,1113.0,1790.0,611.0,508.0
29077004802,2308.0,590.0,1034.0,2143.0,677.0,834.0
29077004803,1473.0,402.0,640.0,1364.0,461.0,671.0
29077004900,1458.0,365.0,485.0,1971.0,851.0,918.0
29077005001,876.0,263.0,317.0,1018.0,490.0,632.0
29077005002,2073.0,469.0,799.0,1978.0,688.0,819.0
29077005100,822.0,223.0,317.0,1115.0,467.0,430.0
29077005200,1543.0,369.0,471.0,2154.0,1112.0,1132.0
29077005500,1053.0,775.0,671.0,1202.0,401.0,408.0
29077005600,655.0,478.0,381.0,923.0,354.0,539.0
29077005700,653.0,675.0,513.0,854.0,390.0,446.0
29077005800,699.0,1511.0,899.0,1448.0,438.0,387.0
29079960100,588.0,133.0,177.0,544.0,310.0,381.0
29079960200,567.0,183.0,163.0,567.0,283.0,343.0
29079960300,654.0,322.0,267.0,634.0,241.0,419.0
29079960400,800.0,280.0,300.0,820.0,412.0,957.0
29081950100,924.0,206.0,317.0,919.0,453.0,699.0
29081950200,622.0,116.0,188.0,639.0,292.0,522.0
29081950300,802.0,277.0,340.0,760.0,333.0,633.0
29083950100,808.0,232.0,354.0,756.0,321.0,539.0
29083950200,835.0,243.0,265.0,1141.0,640.0,721.0
29083950300,857.0,188.0,251.0,1014.0,464.0,535.0
29083950400,553.0,158.0,263.0,874.0,550.0,668.0
29083950500,1006.0,336.0,446.0,1057.0,452.0,744.0
29083950600,1178.0,417.0,608.0,1269.0,631.0,1138.0
29085470100,675.0,192.0,243.0,796.0,482.0,731.0
29085470300,386.0,106.0,126.0,540.0,482.0,948.0
29085470500,719.0,167.0,234.0,943.0,744.0,1167.0
29087960100,294.0,112.0,120.0,428.0,229.0,261.0
29087960200,354.0,100.0,167.0,449.0,258.0,427.0
29087960300,381.0,106.0,164.0,502.0,256.0,355.0
29089960100,757.0,180.0,311.0,842.0,415.0,471.0
29089960200,851.0,215.0,372.0,1016.0,523.0,541.0
29089960300,749.0,908.0,296.0,845.0,350.0,597.0
29091090100,1475.0,393.0,519.0,1353.0,706.0,978.0
29091090200,1104.0,339.0,410.0,1048.0,472.0,845.0
29091090300,1192.0,323.0,453.0,1322.0,739.0,697.0
29091090400,1276.0,339.0,483.0,1365.0,659.0,777.0
29091090500,1253.0,337.0,440.0,1395.0,635.0,750.0
29091090600,1385.0,369.0,509.0,1539.0,745.0,692.0
29091090700,1334.0,615.0,619.0,1207.0,543.0,733.0
29091090800,1566.0,629.0,690.0,1432.0,676.0,1437.0
29093950100,630.0,182.0,266.0,840.0,453.0,497.0
