tract,0-18,19-25,26-34,35-54,55-64,65+
05033020402,1251.0,331.0,477.0,1385.0,614.0,768.0
05033020501,1477.0,389.0,591.0,1118.0,341.0,248.0
05033020502,1334.0,531.0,584.0,1254.0,462.0,724.0
05033020600,2877.0,850.0,1094.0,2764.0,1072.0,1288.0
05035030101,996.0,280.0,317.0,630.0,175.0,116.0
05035030102,1103.0,288.0,354.0,921.0,357.0,296.0
05035030201,1262.0,502.0,651.0,1403.0,599.0,754.0
05035030202,729.0,170.0,258.0,907.0,529.0,601.0
05035030301,1049.0,352.0,357.0,828.0,313.0,417.0
05035030302,822.0,277.0,317.0,639.0,295.0,289.0
05035030501,275.0,97.0,117.0,288.0,121.0,116.0
05035030502,429.0,90.0,106.0,299.0,94.0,87.0
05035030600,1680.0,475.0,494.0,1197.0,537.0,537.0
05035030701,296.0,95.0,90.0,367.0,176.0,176.0
05035030702,399.0,108.0,118.0,289.0,99.0,85.0
05035030703,639.0,244.0,360.0,719.0,223.0,151.0
05035030803,600.0,123.0,262.0,649.0,238.0,125.0
05035030804,878.0,263.0,479.0,996.0,257.0,130.0
05035030805,989.0,323.0,486.0,994.0,343.0,391.0
05035030806,1162.0,197.0,408.0,1249.0,341.0,230.0
05035030807,493.0,112.0,148.0,581.0,210.0,188.0
05035031000,349.0,111.0,153.0,403.0,184.0,223.0
05035031100,955.0,263.0,280.0,703.0,293.0,336.0
05035031200,455.0,114.0,172.0,455.0,187.0,229.0
05037950100,356.0,109.0,122.0,393.0,234.0,258.0
05037950200,833.0,205.0,314.0,992.0,487.0,511.0
05037950300,369.0,91.0,145.0,454.0,204.0,302.0
05037950400,717.0,195.0,266.0,849.0,374.0,321.0
05037950500,1447.0,436.0,561.0,1305.0,526.0,685.0
05037950600,1005.0,261.0,441.0,1165.0,474.0,682.0
05039970100,343.0,83.0,136.0,409.0,303.0,300.0
05039970200,413.0,114.0,161.0,562.0,300.0,356.0
05039970300,1262.0,391.0,447.0,1223.0,576.0,818.0
05041950100,354.0,96.0,114.0,429.0,252.0,292.0
05041950200,1277.0,386.0,498.0,1204.0,583.0,702.0
05041950300,553.0,160.0,173.0,446.0,226.0,204.0
05041950400,865.0,258.0,313.0,845.0,384.0,421.0
05041950500,521.0,178.0,215.0,557.0,264.0,351.0
05043490100,571.0,170.0,214.0,730.0,335.0,388.0
05043490200,714.0,281.0,271.0,726.0,333.0,307.0
05043490300,1475.0,1120.0,649.0,1360.0,645.0,937.0
05043490400,967.0,345.0,366.0,896.0,355.0,437.0
05043490500,1023.0,299.0,423.0,1214.0,509.0,666.0
05045030101,860.0,221.0,295.0,948.0,386.0,440.0
05045030102,1465.0,472.0,659.0,1368.0,438.0,455.0
05045030103,1000.0,235.0,388.0,1020.0,341.0,354.0
05045030104,1479.0,354.0,548.0,1524.0,498.0,527.0
05045030200,1678.0,434.0,608.0,1892.0,796.0,707.0
05045030301,1479.0,546.0,687.0,1506.0,543.0,482.0
05045030302,1887.0,418.0,707.0,1716.0,450.0,530.0
05045030303,1182.0,307.0,478.0,1460.0,557.0,450.0
05045030401,499.0,161.0,157.0,663.0,406.0,392.0
05045030402,973.0,272.0,446.0,1136.0,435.0,347.0
05045030403,852.0,432.0,563.0,992.0,320.0,270.0
05045030404,714.0,326.0,378.0,664.0,274.0,287.0
05045030501,3054.0,1816.0,1558.0,3108.0,838.0,658.0
05045030502,1003.0,1126.0,792.0,926.0,291.0,332.0
05045030600,1345.0,564.0,669.0,1322.0,628.0,869.0
05045030701,843.0,1391.0,410.0,626.0,231.0,315.0
05045030702,864.0,1151.0,591.0,833.0,308.0,364.0
05045030800,865.0,2586.0,368.0,748.0,373.0,581.0
05045030900,908.0,1058.0,613.0,738.0,187.0,174.0
05045031001,1098.0,532.0,463.0,1090.0,409.0,453.0
05045031003,551.0,496.0,300.0,553.0,192.0,196.0
05045031005,1768.0,1423.0,929.0,1741.0,412.0,445.0
05045031006,913.0,794.0,571.0,900.0,327.0,290.0
05045031101,1038.0,376.0,501.0,1378.0,729.0,840.0
05045031102,1209.0,400.0,593.0,1723.0,696.0,560.0
05047950100,938.0,393.0,330.0,1081.0,547.0,585.0
05047950200,1944.0,585.0,800.0,1904.0,910.0,1242.0
05047950300,1813.0,485.0,703.0,2029.0,870.0,1180.0
05049550100,1220.0,342.0,404.0,1545.0,1020.0,1471.0
05049550200,1511.0,397.0,563.0,1683.0,922.0,1271.0
05051010300,1383.0,458.0,548.0,1639.0,852.0,907.0
05051010400,1482.0,511.0,609.0,1832.0,1043.0,1713.0
05051010500,1453.0,410.0,607.0,1863.0,889.0,818.0
05051010600,1041.0,316.0,397.0,1048.0,479.0,532.0
05051010700,382.0,276.0,219.0,509.0,277.0,350.0
05051010800,603.0,259.0,313.0,718.0,367.0,455.0
05051010900,648.0,251.0,371.0,846.0,399.0,844.0
05051011000,1268.0,518.0,627.0,1412.0,591.0,634.0
05051011100,2284.0,518.0,804.0,2778.0,1307.0,1203.0
05051011200,1895.0,490.0,820.0,2091.0,1124.0,1298.0
05051011300,975.0,413.0,538.0,1176.0,651.0,966.0
05051011400,944.0,461.0,470.0,912.0,377.0,460.0
