census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
01059972900,1041.0,341.0,423.0,1143.0,486.0,617.0
01059973000,1530.0,542.0,718.0,1330.0,495.0,831.0
01059973100,589.0,157.0,254.0,732.0,354.0,330.0
01059973200,1132.0,368.0,462.0,1089.0,404.0,521.0
01059973300,1012.0,371.0,444.0,881.0,351.0,437.0
01059973400,631.0,220.0,291.0,711.0,358.0,473.0
01059973500,513.0,155.0,192.0,690.0,275.0,428.0
01059973600,439.0,137.0,179.0,560.0,236.0,268.0
01059973700,1441.0,482.0,619.0,1725.0,766.0,920.0
01061050100,1247.0,392.0,491.0,1366.0,755.0,899.0
01061050200,507.0,162.0,205.0,677.0,369.0,421.0
01061050300,1239.0,447.0,545.0,1483.0,719.0,1044.0
01061050400,1374.0,484.0,553.0,1698.0,769.0,1099.0
01061050500,1071.0,328.0,412.0,1260.0,585.0,677.0
01061050600,920.0,314.0,352.0,1186.0,508.0,534.0
01063060000,446.0,155.0,167.0,466.0,285.0,309.0
01063060100,1154.0,359.0,385.0,1151.0,657.0,754.0
01063060200,753.0,261.0,238.0,788.0,418.0,391.0
01065040000,910.0,263.0,394.0,1014.0,460.0,524.0
01065040100,355.0,121.0,131.0,473.0,249.0,271.0
01065040200,402.0,125.0,139.0,483.0,223.0,231.0
01065040300,610.0,186.0,196.0,585.0,257.0,273.0
01065040400,1483.0,487.0,526.0,1422.0,713.0,819.0
01065040500,406.0,118.0,144.0,442.0,217.0,252.0
01067030100,420.0,144.0,185.0,550.0,301.0,329.0
01067030200,702.0,231.0,280.0,696.0,408.0,673.0
01067030300,590.0,184.0,231.0,878.0,576.0,667.0
01067030400,456.0,121.0,168.0,529.0,294.0,290.0
01067030500,1572.0,404.0,681.0,1713.0,847.0,823.0
01067030600,363.0,111.0,138.0,461.0,222.0,262.0
01069040100,1336.0,381.0,523.0,1549.0,603.0,624.0
01069040201,2181.0,616.0,1126.0,2755.0,1100.0,1355.0
01069040202,2030.0,532.0,697.0,2504.0,1200.0,1261.0
01069040301,972.0,499.0,497.0,968.0,446.0,588.0
01069040302,1012.0,396.0,473.0,998.0,409.0,332.0
01069040400,603.0,143.0,262.0,712.0,352.0,441.0
01069040500,709.0,308.0,439.0,949.0,459.0,646.0
01069040600,656.0,309.0,334.0,716.0,261.0,235.0
01069040700,796.0,222.0,356.0,685.0,244.0,398.0
01069040800,2117.0,665.0,1011.0,2099.0,910.0,1055.0
01069040900,1228.0,356.0,579.0,1440.0,560.0,565.0
01069041000,1604.0,493.0,635.0,1354.0,505.0,625.0
01069041100,1002.0,354.0,488.0,1025.0,423.0,610.0
01069041200,623.0,270.0,269.0,656.0,266.0,478.0
01069041400,764.0,311.0,443.0,889.0,311.0,427.0
01069041500,1070.0,356.0,445.0,1004.0,668.0,672.0
01069041600,1490.0,452.0,635.0,1571.0,622.0,688.0
01069041700,322.0,87.0,132.0,408.0,205.0,268.0
01069041800,514.0,176.0,215.0,643.0,370.0,407.0
01069041900,1869.0,560.0,723.0,2307.0,993.0,1210.0
01069042000,1310.0,402.0,506.0,1786.0,839.0,899.0
01069042100,2042.0,521.0,813.0,2241.0,885.0,891.0
01071950100,1687.0,502.0,659.0,2073.0,901.0,1009.0
01071950200,879.0,254.0,344.0,1039.0,479.0,560.0
01071950300,1384.0,469.0,629.0,1682.0,852.0,952.0
01071950400,482.0,185.0,193.0,669.0,274.0,344.0
01071950500,867.0,240.0,391.0,1037.0,529.0,496.0
01071950600,1440.0,519.0,598.0,1773.0,758.0,939.0
01071950700,953.0,377.0,454.0,1243.0,573.0,730.0
01071950800,904.0,329.0,474.0,1090.0,463.0,856.0
01071950900,1305.0,292.0,485.0,1631.0,894.0,1075.0
01071951000,1080.0,298.0,428.0,1361.0,587.0,742.0
01071951100,1726.0,529.0,667.0,2129.0,1061.0,1070.0
01073000100,1007.0,275.0,358.0,901.0,309.0,231.0
01073000300,732.0,303.0,362.0,867.0,312.0,197.0
01073000400,964.0,339.0,382.0,961.0,409.0,318.0
01073000500,702.0,312.0,313.0,756.0,389.0,417.0
01073000700,922.0,267.0,304.0,548.0,245.0,326.0
01073000800,798.0,337.0,390.0,1048.0,595.0,720.0
01073001100,1425.0,487.0,583.0,1289.0,828.0,797.0
01073001200,580.0,272.0,332.0,792.0,428.0,498.0
01073001400,495.0,173.0,241.0,577.0,281.0,436.0
01073001500,675.0,351.0,381.0,990.0,432.0,389.0
01073001600,657.0,305.0,395.0,1005.0,472.0,598.0
01073001902,533.0,202.0,195.0,582.0,226.0,176.0
01073002000,990.0,355.0,448.0,1181.0,574.0,381.0
01073002100,962.0,288.0,360.0,976.0,340.0,301.0
01073002200,783.0,270.0,286.0,712.0,357.0,247.0
01073002303,923.0,352.0,396.0,742.0,314.0,253.0
